FIPS,zone,hazard,vulnerability,zone_score,CALC,risk_score
08001009322,20,6.8,0.8987,0.38934972311381916,0.5093502768861808,3.4635818828260296
08001009323,20,6.4,0.7618,0.38934972311381916,0.3724502768861809,2.3836817720715575
08001009325,20,8.0,0.5746,0.38934972311381916,0.18525027688618084,1.4820022150894467
08001009326,20,7.3,0.1491,0.38934972311381916,0.01,0.073
08001009327,20,7.7,0.6872,0.38934972311381916,0.2978502768861809,2.293447132023593
08001009401,20,6.6,0.7626,0.38934972311381916,0.3732502768861808,2.463451827448793
08001009406,20,5.9,0.5964,0.38934972311381916,0.20705027688618088,1.2215966336284674
08001009407,20,6.4,0.8047,0.38934972311381916,0.4153502768861808,2.658241772071557
08001009408,3,9.6,0.1605,0.403410359898172,0.01,0.096
08001009409,20,9.6,0.1742,0.38934972311381916,0.01,0.096
08001009410,20,6.9,0.1005,0.38934972311381916,0.01,0.069
08001009411,20,4.2,0.282,0.38934972311381916,0.01,0.042
08001009501,20,7.7,0.8452,0.38934972311381916,0.4558502768861808,3.510047132023592
08001009502,20,9.4,0.8006,0.38934972311381916,0.4112502768861808,3.8657526027300997
08001009553,20,8.7,0.8493,0.38934972311381916,0.4599502768861809,4.001567408909773
08001009603,20,8.2,0.9052,0.38934972311381916,0.5158502768861808,4.229972270466682
08001009604,20,8.0,0.9125,0.38934972311381916,0.5231502768861809,4.185202215089447
08001009606,20,9.1,0.8865,0.38934972311381916,0.4971502768861808,4.5240675196642455
08001009607,20,9.0,0.8906,0.38934972311381916,0.5012502768861808,4.511252491975627
08001009608,2,8.2,0.5770000000000001,0.4312970228535627,0.14570297714643737,1.1947644126007864
08001009751,2,9.6,0.9229999999999999,0.4312970228535627,0.49170297714643724,4.720348580605798
08001009752,20,8.6,0.846,0.38934972311381916,0.4566502768861808,3.927192381221155
08001015000,20,10.0,0.9084,0.38934972311381916,0.5190502768861809,5.190502768861808
08001060000,20,8.7,0.222,0.38934972311381916,0.01,0.087
08001060100,20,9.2,0.6175,0.38934972311381916,0.2281502768861809,2.098982547352864
08001060200,20,9.7,0.3776,0.38934972311381916,0.01,0.09699999999999999
08001061200,20,10.0,0.0438,0.38934972311381916,0.01,0.1
08005004951,1,8.8,0.5211,1.0,0.01,0.08800000000000001
08005004952,1,9.1,0.6248,1.0,0.01,0.091
08005005551,1,9.4,0.8793,1.0,0.01,0.094
08005005552,20,9.4,0.9206,0.38934972311381916,0.5312502768861809,4.9937526027301
08005005553,20,9.7,0.7147,0.38934972311381916,0.32535027688618084,3.1558976857959538
08005005611,20,7.7,0.5835,0.38934972311381916,0.19415027688618086,1.4949571320235926
08005005612,20,7.7,0.3841,0.38934972311381916,0.01,0.077
08005005614,20,8.1,0.09,0.38934972311381916,0.01,0.081
08005005619,20,9.2,0.175,0.38934972311381916,0.01,0.092
08005005620,20,9.6,0.564,0.38934972311381916,0.1746502768861808,1.6766426581073355
08005005621,20,8.3,0.3679,0.38934972311381916,0.01,0.083
08005005622,20,10.0,0.1791,0.38934972311381916,0.01,0.1
08005005623,20,9.3,0.201,0.38934972311381916,0.01,0.09300000000000001
08005005624,20,7.8,0.2066,0.38934972311381916,0.01,0.078
08005005625,20,8.2,0.5754,0.38934972311381916,0.18605027688618087,1.525612270466683
08005005626,20,7.6,0.3857,0.38934972311381916,0.01,0.076
08005005627,20,8.6,0.0608,0.38934972311381916,0.01,0.086
08005005628,20,7.9,0.2212,0.38934972311381916,0.01,0.079
08005005629,20,7.2,0.0,0.38934972311381916,0.01,0.07200000000000001
08005005630,20,7.9,0.1499,0.38934972311381916,0.01,0.079
08005005631,20,7.6,0.0875,0.38934972311381916,0.01,0.076
08005005632,20,7.1,0.184,0.38934972311381916,0.01,0.071
08005005633,20,7.9,0.0162,0.38934972311381916,0.01,0.079
08005005634,20,9.3,0.3728,0.38934972311381916,0.01,0.09300000000000001
08005005636,1,8.8,0.0041,1.0,0.01,0.08800000000000001
08005005700,1,9.6,0.7237,1.0,0.01,0.096
08005005800,1,8.8,0.0324,1.0,0.01,0.08800000000000001
08005005952,1,7.9,0.4514,1.0,0.01,0.079
08005006000,1,9.5,0.7018,1.0,0.01,0.095
08005006100,1,8.7,0.7318,1.0,0.01,0.087
08005006200,20,9.4,0.3428,0.38934972311381916,0.01,0.094
08005006300,1,7.4,0.2156,1.0,0.01,0.07400000000000001
08005006400,20,9.3,0.8185,0.38934972311381916,0.42915027688618085,3.9910975750414823
08005006501,20,9.5,0.3468,0.38934972311381916,0.01,0.095
08005006502,20,8.5,0.45299999999999996,0.38934972311381916,0.0636502768861808,0.5410273535325368
08005006601,20,8.8,0.8387,0.38934972311381916,0.44935027688618084,3.9542824365983917
08005006603,20,7.7,0.5851,0.38934972311381916,0.1957502768861808,1.5072771320235923
08005006604,20,7.9,0.7447,0.38934972311381916,0.35535027688618087,2.807267187400829
08005006704,1,9.2,0.0332,1.0,0.01,0.092
08005006705,1,8.4,0.0081,1.0,0.01,0.084
08005006706,20,8.1,0.2358,0.38934972311381916,0.01,0.081
08005006707,20,8.0,0.3663,0.38934972311381916,0.01,0.08
08005006708,20,8.5,0.0729,0.38934972311381916,0.01,0.085
08005006709,20,7.5,0.0746,0.38934972311381916,0.01,0.075
08005006711,20,7.9,0.2115,0.38934972311381916,0.01,0.079
08005006712,20,8.6,0.0916,0.38934972311381916,0.01,0.086
08005006713,20,6.3,0.1207,0.38934972311381916,0.01,0.063
08005006808,20,9.1,0.0535,0.38934972311381916,0.01,0.091
08005006815,20,7.0,0.6013,0.38934972311381916,0.2119502768861808,1.4836519382032656
08005006854,20,8.8,0.3241,0.38934972311381916,0.01,0.08800000000000001
08005006855,0,9.9,0.3517,0.0,0.3517,3.4818300000000004
