geometry,latitude,longitude,distance,elevation,name,types,plus_code,vicinity,lifeline_number,lifeline_category
"{'location': {'lat': 39.78214010000001, 'lng': -105.1673194}, 'viewport': {'northeast': {'lat': 39.7834859302915, 'lng': -105.1657455197085}, 'southwest': {'lat': 39.78078796970851, 'lng': -105.1684434802915}}}",39.78214010000001,-105.1673194,15.887,1696,Fairmount Fire Protection,"['fire_station', 'point_of_interest', 'establishment']","{'compound_code': 'QRJM+V3 Crestview, Arvada, CO, United States', 'global_code': '85FPQRJM+V3'}","4755 Isabell Street, Golden",1,safety_security
"{'location': {'lat': 39.7896167, 'lng': -105.0299278}, 'viewport': {'northeast': {'lat': 39.79425705000001, 'lng': -105.0205667}, 'southwest': {'lat': 39.78527404999999, 'lng': -105.0393607}}}",39.7896167,-105.0299278,6.5558,1629,Regis University,"['university', 'point_of_interest', 'establishment']","{'compound_code': 'QXQC+R2 Denver, Colorado, United States', 'global_code': '85FPQXQC+R2'}","3333 Regis Boulevard, Denver",1,safety_security
"{'location': {'lat': 39.7902706, 'lng': -104.7371385}, 'viewport': {'northeast': {'lat': 39.79134948029149, 'lng': -104.7358105197085}, 'southwest': {'lat': 39.78865151970849, 'lng': -104.7385084802915}}}",39.7902706,-104.7371385,22.3907,1655,Pitt Waller K-8 School,"['primary_school', 'secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'Q7R7+44 Denver, Colorado, United States', 'global_code': '85FQQ7R7+44'}","21601 East 51st Place, Denver",1,safety_security
"{'location': {'lat': 39.7916468, 'lng': -104.8990485}, 'viewport': {'northeast': {'lat': 39.79289903029149, 'lng': -104.8977853197085}, 'southwest': {'lat': 39.79020106970849, 'lng': -104.9004832802915}}}",39.7916468,-104.8990485,9.7436,1593,United States Postal Service,"['post_office', 'finance', 'point_of_interest', 'establishment']","{'compound_code': 'Q4R2+M9 Denver, Colorado, United States', 'global_code': '85FQQ4R2+M9'}","7550 East 53rd Place, Denver",1,safety_security
"{'location': {'lat': 39.79804800000001, 'lng': -105.063142}, 'viewport': {'northeast': {'lat': 39.7995325302915, 'lng': -105.0617909197085}, 'southwest': {'lat': 39.7968345697085, 'lng': -105.0644888802915}}}",39.79804800000001,-105.063142,9.042,1607,Casco Industries Inc,"['fire_station', 'point_of_interest', 'establishment']","{'compound_code': 'QWXP+6P I-70 Corridor, Arvada, CO, United States', 'global_code': '85FPQWXP+6P'}","6010 West 56th Avenue, Arvada",1,safety_security
"{'location': {'lat': 39.80024229999999, 'lng': -105.080446}, 'viewport': {'northeast': {'lat': 39.80153813029149, 'lng': -105.0790971697085}, 'southwest': {'lat': 39.79884016970849, 'lng': -105.0817951302915}}}",39.8002423,-105.080446,10.2797,1626,Arvada Library - Jefferson County Public Library,"['library', 'point_of_interest', 'establishment']","{'compound_code': 'RW29+3R Arvada, Colorado, United States', 'global_code': '85FPRW29+3R'}","7525 West 57th Avenue, Arvada",1,safety_security
"{'location': {'lat': 39.802969, 'lng': -104.9817836}, 'viewport': {'northeast': {'lat': 39.8040792302915, 'lng': -104.9804370697085}, 'southwest': {'lat': 39.8013812697085, 'lng': -104.9831350302915}}}",39.802969,-104.9817836,7.1315,1586,Zuni Al,"['courthouse', 'local_government_office', 'point_of_interest', 'store', 'establishment']","{'compound_code': 'R239+57 North Washington, Colorado, United States', 'global_code': '85FQR239+57'}","451 East 58th Avenue # 2364, Denver",1,safety_security
"{'location': {'lat': 39.8030287, 'lng': -105.087769}, 'viewport': {'northeast': {'lat': 39.8045075802915, 'lng': -105.0862442697085}, 'southwest': {'lat': 39.8018096197085, 'lng': -105.0889422302915}}}",39.8030287,-105.087769,10.9564,1626,City of Arvada,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'RW36+6V Arvada, Colorado, United States', 'global_code': '85FPRW36+6V'}","8101 Ralston Road, Arvada",1,safety_security
"{'location': {'lat': 39.8061994, 'lng': -104.8967583}, 'viewport': {'northeast': {'lat': 39.8076560802915, 'lng': -104.8955445197085}, 'southwest': {'lat': 39.8049581197085, 'lng': -104.8982424802915}}}",39.8061994,-104.8967583,10.9338,1592,Commerce City Civic Center,"['city_hall', 'courthouse', 'police', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'R443+F7 Commerce City, Colorado, United States', 'global_code': '85FQR443+F7'}","7887 East 60th Avenue, Commerce City",1,safety_security
"{'location': {'lat': 39.81378180000001, 'lng': -105.1618958}, 'viewport': {'northeast': {'lat': 39.8150475802915, 'lng': -105.1605439197085}, 'southwest': {'lat': 39.81234961970851, 'lng': -105.1632418802915}}}",39.81378180000001,-105.16189579999998,16.8671,1692,US Post Office,"['post_office', 'finance', 'point_of_interest', 'establishment']","{'compound_code': 'RR7Q+G6 Arvada, Colorado, United States', 'global_code': '85FPRR7Q+G6'}","14455 West 64th Avenue M, Arvada",1,safety_security
"{'location': {'lat': 39.8150341, 'lng': -105.0310851}, 'viewport': {'northeast': {'lat': 39.81618958029149, 'lng': -105.0297360697085}, 'southwest': {'lat': 39.81349161970849, 'lng': -105.0324340302915}}}",39.8150341,-105.0310851,9.1322,1609,Adams County Fire Rescue Station 12,"['fire_station', 'point_of_interest', 'establishment']","{'compound_code': 'RX89+2H Berkley, Colorado, United States', 'global_code': '85FPRX89+2H'}","3365 West 65th Avenue, Denver",1,safety_security
"{'location': {'lat': 39.82815739999999, 'lng': -104.9384681}, 'viewport': {'northeast': {'lat': 39.8294641302915, 'lng': -104.9369364697085}, 'southwest': {'lat': 39.8267661697085, 'lng': -104.9396344302915}}}",39.82815739999999,-104.93846809999998,10.8445,1564,Adams County Sheriff's Office Substation,"['police', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'R3H6+7J Commerce City, Colorado, United States', 'global_code': '85FQR3H6+7J'}","4201 East 72nd Avenue B, Commerce City",1,safety_security
"{'location': {'lat': 39.8305412, 'lng': -105.0397692}, 'viewport': {'northeast': {'lat': 39.8318597802915, 'lng': -105.0382631197085}, 'southwest': {'lat': 39.8291618197085, 'lng': -105.0409610802915}}}",39.8305412,-105.0397692,11.0112,1623,Congregation B'Nai Torah,"['synagogue', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': 'RXJ6+63 Westminster, Colorado, United States', 'global_code': '85FPRXJ6+63'}","3990 West 74th Avenue, Westminster",1,safety_security
