geometry,name,plus_code,types,vicinity,latitude,longitude,distance,lifeline_number,lifeline_category
"{'location': {'lat': 39.65096839999999, 'lng': -104.8843944}, 'viewport': {'northeast': {'lat': 39.65232608029149, 'lng': -104.8830893197085}, 'southwest': {'lat': 39.6496281197085, 'lng': -104.8857872802915}}}",KeyBank,"{'compound_code': 'M428+96 Denver, Colorado, United States', 'global_code': '85FQM428+96'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","3600 South Yosemite Street, Denver",39.65096839999999,-104.88439440000002,13.3699,5,communications
"{'location': {'lat': 39.6557491, 'lng': -105.0504563}, 'viewport': {'northeast': {'lat': 39.6571215802915, 'lng': -105.0491062197085}, 'southwest': {'lat': 39.6544236197085, 'lng': -105.0518041802915}}}",Wells Fargo ATM,"{'compound_code': 'MW4X+7R Denver, Colorado, United States', 'global_code': '85FPMW4X+7R'}","['atm', 'finance', 'point_of_interest', 'establishment']","3100 South Sheridan Boulevard, Denver",39.6557491,-105.05045630000001,10.6283,5,communications
"{'location': {'lat': 39.6558776, 'lng': -104.9904533}, 'viewport': {'northeast': {'lat': 39.6571909802915, 'lng': -104.9892271697085}, 'southwest': {'lat': 39.6544930197085, 'lng': -104.9919251302915}}}",Wells Fargo Bank,"{'compound_code': 'M245+9R Englewood, Colorado, United States', 'global_code': '85FQM245+9R'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","3333 South Bannock Street, Englewood",39.655877600000004,-104.9904533,9.2792,5,communications
"{'location': {'lat': 39.65601059999999, 'lng': -105.0508644}, 'viewport': {'northeast': {'lat': 39.65676049999999, 'lng': -105.05010655}, 'southwest': {'lat': 39.6537609, 'lng': -105.05313795}}}",US Bank-ATM,"{'compound_code': 'MW4X+CM Denver, Colorado, United States', 'global_code': '85FPMW4X+CM'}","['atm', 'finance', 'point_of_interest', 'establishment']","3100 South Sheridan Boulevard, Denver",39.65601059999999,-105.05086440000001,10.6198,5,communications
"{'location': {'lat': 39.6884912, 'lng': -104.9398626}, 'viewport': {'northeast': {'lat': 39.68983928029149, 'lng': -104.9386241697085}, 'southwest': {'lat': 39.68714131970849, 'lng': -104.9413221302915}}}",Check Into Cash,"{'compound_code': 'M3Q6+93 Denver, Colorado, United States', 'global_code': '85FQM3Q6+93'}","['bank', 'finance', 'point_of_interest', 'establishment']","1550 South Colorado Boulevard #101, Denver",39.6884912,-104.9398626,7.1081,5,communications
"{'location': {'lat': 39.69052910000001, 'lng': -104.8680269}, 'viewport': {'northeast': {'lat': 39.6918783302915, 'lng': -104.8666371697085}, 'southwest': {'lat': 39.6891803697085, 'lng': -104.8693351302915}}}",Cardtronics ATM,"{'compound_code': 'M4RJ+6Q Aurora, Colorado, United States', 'global_code': '85FQM4RJ+6Q'}","['atm', 'finance', 'point_of_interest', 'establishment']","1471 South Havana Street, Aurora",39.690529100000006,-104.8680269,11.7869,5,communications
"{'location': {'lat': 39.6937084, 'lng': -105.025574}, 'viewport': {'northeast': {'lat': 39.69500413029149, 'lng': -105.0241896197085}, 'southwest': {'lat': 39.69230616970849, 'lng': -105.0268875802915}}}",Security Service Federal Credit Union,"{'compound_code': 'MXVF+FQ Denver, Colorado, United States', 'global_code': '85FPMXVF+FQ'}","['atm', 'finance', 'point_of_interest', 'establishment']","1275 South Federal Boulevard, Denver",39.6937084,-105.025574,5.9019,5,communications
"{'location': {'lat': 39.71737629999999, 'lng': -104.9465393}, 'viewport': {'northeast': {'lat': 39.71867253029149, 'lng': -104.9453425197085}, 'southwest': {'lat': 39.71597456970849, 'lng': -104.9480404802915}}}",Colorado Capital Bank,"{'compound_code': 'P383+X9 Denver, Colorado, United States', 'global_code': '85FQP383+X9'}","['bank', 'finance', 'point_of_interest', 'establishment']","55 Madison Street, Denver",39.71737629999999,-104.9465393,4.4638,5,communications
"{'location': {'lat': 39.7175473, 'lng': -104.9470308}, 'viewport': {'northeast': {'lat': 39.7190297302915, 'lng': -104.9456827197085}, 'southwest': {'lat': 39.7163317697085, 'lng': -104.9483806802915}}}",KeyBank,"{'compound_code': 'P393+25 Denver, Colorado, United States', 'global_code': '85FQP393+25'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","3410 East 1st Avenue, Denver",39.7175473,-104.9470308,4.4182,5,communications
"{'location': {'lat': 39.7190651, 'lng': -104.9575934}, 'viewport': {'northeast': {'lat': 39.7205894302915, 'lng': -104.9562398197085}, 'southwest': {'lat': 39.7178914697085, 'lng': -104.9589377802915}}}",Wells Fargo Bank,"{'compound_code': 'P29R+JX Denver, Colorado, United States', 'global_code': '85FQP29R+JX'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","2500 East 2nd Avenue Ste 101, Denver",39.7190651,-104.95759340000001,3.5859,5,communications
"{'location': {'lat': 39.7204208, 'lng': -104.9880688}, 'viewport': {'northeast': {'lat': 39.72187478029149, 'lng': -104.9867934697085}, 'southwest': {'lat': 39.71917681970849, 'lng': -104.9894914302915}}}",Community Banks of Colorado,"{'compound_code': 'P2C6+5Q Denver, Colorado, United States', 'global_code': '85FQP2C6+5Q'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","277 Broadway Suite C, Suite C, Denver",39.7204208,-104.98806880000001,2.1027,5,communications
"{'location': {'lat': 39.7218547, 'lng': -105.1327434}, 'viewport': {'northeast': {'lat': 39.7232463302915, 'lng': -105.1315516697085}, 'southwest': {'lat': 39.7205483697085, 'lng': -105.1342496302915}}}",Westerra Credit Union,"{'compound_code': 'PVC8+PW Lakewood, Colorado, United States', 'global_code': '85FPPVC8+PW'}","['atm', 'finance', 'point_of_interest', 'establishment']","375 Union Boulevard, Lakewood",39.7218547,-105.13274340000001,12.3512,5,communications
"{'location': {'lat': 39.72435, 'lng': -105.1331613}, 'viewport': {'northeast': {'lat': 39.7254288802915, 'lng': -105.1313156697085}, 'southwest': {'lat': 39.7227309197085, 'lng': -105.1340136302915}}}",Safehold Special Risk,"{'compound_code': 'PVF8+PP Lakewood, Colorado, United States', 'global_code': '85FPPVF8+PP'}","['insurance_agency', 'atm', 'finance', 'point_of_interest', 'establishment']","575 Union Boulevard #205, Lakewood",39.72435,-105.13316129999998,12.345999999999998,5,communications
"{'location': {'lat': 39.7336008, 'lng': -104.9892232}, 'viewport': {'northeast': {'lat': 39.7348508802915, 'lng': -104.9878712197085}, 'southwest': {'lat': 39.7321529197085, 'lng': -104.9905691802915}}}",Denver Community Credit Union,"{'compound_code': 'P2M6+C8 Denver, Colorado, United States', 'global_code': '85FQP2M6+C8'}","['atm', 'finance', 'point_of_interest', 'establishment']","1075 Acoma Street, Denver",39.7336008,-104.98922320000001,0.6334,5,communications
"{'location': {'lat': 39.7406485, 'lng': -105.0693318}, 'viewport': {'northeast': {'lat': 39.74199103029149, 'lng': -105.0678339697085}, 'southwest': {'lat': 39.73929306970849, 'lng': -105.0705319302915}}}",KeyBank,"{'compound_code': 'PWRJ+77 Lakewood, Colorado, United States', 'global_code': '85FPPWRJ+77'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","6599 West Colfax Avenue, Lakewood",39.7406485,-105.0693318,6.771,5,communications
"{'location': {'lat': 39.743635, 'lng': -104.988499}, 'viewport': {'northeast': {'lat': 39.74485293029149, 'lng': -104.9875214697085}, 'southwest': {'lat': 39.7421549697085, 'lng': -104.9902194302915}}}",FirstBank,"{'compound_code': 'P2V6+FJ Denver, Colorado, United States', 'global_code': '85FQP2V6+FJ'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","370 17th Street, Denver",39.743635,-104.988499,0.5122,5,communications
"{'location': {'lat': 39.7441456, 'lng': -104.9866816}, 'viewport': {'northeast': {'lat': 39.74550508029149, 'lng': -104.9856960697085}, 'southwest': {'lat': 39.74280711970849, 'lng': -104.9883940302915}}}",Wells Fargo Bank,"{'compound_code': 'P2V7+M8 Denver, Colorado, United States', 'global_code': '85FQP2V7+M8'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","1740 Broadway, Denver",39.7441456,-104.98668159999998,0.6261,5,communications
"{'location': {'lat': 39.74917900000001, 'lng': -104.996001}, 'viewport': {'northeast': {'lat': 39.7507282802915, 'lng': -104.9943914697085}, 'southwest': {'lat': 39.7480303197085, 'lng': -104.9970894302915}}}",FirstBank,"{'compound_code': 'P2X3+MH Denver, Colorado, United States', 'global_code': '85FQP2X3+MH'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","1200 17th Street #100, Denver",39.74917900000001,-104.996001,1.2113,5,communications
"{'location': {'lat': 39.7495333, 'lng': -104.9946998}, 'viewport': {'northeast': {'lat': 39.7507433302915, 'lng': -104.9935258197085}, 'southwest': {'lat': 39.7480453697085, 'lng': -104.9962237802915}}}",Chase Bank,"{'compound_code': 'P2X4+R4 Denver, Colorado, United States', 'global_code': '85FQP2X4+R4'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","1125 17th Street, Denver",39.749533299999996,-104.99469979999999,1.2079,5,communications
"{'location': {'lat': 39.7502764, 'lng': -104.9952031}, 'viewport': {'northeast': {'lat': 39.7513979802915, 'lng': -104.9941498697085}, 'southwest': {'lat': 39.7487000197085, 'lng': -104.9968478302915}}}",Commerce Bank - Commercial Banking Office,"{'compound_code': 'Q223+4W Denver, Colorado, United States', 'global_code': '85FQQ223+4W'}","['bank', 'finance', 'point_of_interest', 'establishment']","1225 17th Street Ste 2550, Denver",39.7502764,-104.9952031,1.3,5,communications
"{'location': {'lat': 39.7508352, 'lng': -104.9992164}, 'viewport': {'northeast': {'lat': 39.75210173029149, 'lng': -104.9977585697085}, 'southwest': {'lat': 39.74940376970849, 'lng': -105.0004565302915}}}",Wells Fargo Bank,"{'compound_code': 'Q222+88 Denver, Colorado, United States', 'global_code': '85FQQ222+88'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","1601 Blake Street Ste 105, Denver",39.750835200000004,-104.99921640000001,1.5019999999999998,5,communications
