geometry,name,plus_code,types,vicinity,latitude,longitude,lifeline_number,lifeline_category
"{'location': {'lat': 39.652153, 'lng': -104.933641}, 'viewport': {'northeast': {'lat': 39.6534647302915, 'lng': -104.9324096197085}, 'southwest': {'lat': 39.6507667697085, 'lng': -104.9351075802915}}}",Bethany Lutheran Church (ELCA),"{'compound_code': 'M328+VG Cherry Hills Village, Colorado, United States', 'global_code': '85FQM328+VG'}","['church', 'place_of_worship', 'point_of_interest', 'establishment']","4500 East Hampden Avenue, Cherry Hills Village",39.652153000000006,-104.933641,1,safety_security
"{'location': {'lat': 39.65223749999999, 'lng': -104.8791169}, 'viewport': {'northeast': {'lat': 39.6538454302915, 'lng': -104.8777627697085}, 'southwest': {'lat': 39.6511474697085, 'lng': -104.8804607302915}}}",Walmart Bakery,"{'compound_code': 'M42C+V9 Denver, Colorado, United States', 'global_code': '85FQM42C+V9'}","['bakery', 'food', 'point_of_interest', 'store', 'establishment']","9400 East Hampden Avenue, Denver",39.65223749999999,-104.8791169,1,safety_security
"{'location': {'lat': 39.65235699999999, 'lng': -104.878621}, 'viewport': {'northeast': {'lat': 39.6537138802915, 'lng': -104.8770643197085}, 'southwest': {'lat': 39.6510159197085, 'lng': -104.8797622802915}}}",Walmart Pharmacy,"{'compound_code': 'M42C+WH Denver, Colorado, United States', 'global_code': '85FQM42C+WH'}","['pharmacy', 'department_store', 'health', 'point_of_interest', 'store', 'establishment']","9400 East Hampden Avenue, Denver",39.65235699999999,-104.878621,1,safety_security
"{'location': {'lat': 39.6523796, 'lng': -104.9016553}, 'viewport': {'northeast': {'lat': 39.6536777302915, 'lng': -104.9004974197085}, 'southwest': {'lat': 39.6509797697085, 'lng': -104.9031953802915}}}",Whole Foods Market,"{'compound_code': 'M32X+X8 Denver, Colorado, United States', 'global_code': '85FQM32X+X8'}","['grocery_or_supermarket', 'supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']","7400 East Hampden Avenue unit d, Denver",39.6523796,-104.9016553,1,safety_security
"{'location': {'lat': 39.6524754, 'lng': -104.9269894}, 'viewport': {'northeast': {'lat': 39.6536083302915, 'lng': -104.9256410197085}, 'southwest': {'lat': 39.65091036970851, 'lng': -104.9283389802915}}}",Temple Sinai,"{'compound_code': 'M32F+X6 Denver, Colorado, United States', 'global_code': '85FQM32F+X6'}","['synagogue', 'place_of_worship', 'school', 'point_of_interest', 'establishment']","3509 South Glencoe Street, Denver",39.65247539999999,-104.92698940000001,1,safety_security
"{'location': {'lat': 39.6525695, 'lng': -104.9000732}, 'viewport': {'northeast': {'lat': 39.6539184302915, 'lng': -104.8987876197085}, 'southwest': {'lat': 39.6512204697085, 'lng': -104.9014855802915}}}",International Optique,"{'compound_code': 'M33X+2X Denver, Colorado, United States', 'global_code': '85FQM33X+2X'}","['health', 'point_of_interest', 'store', 'establishment']","7800 East Hampden Avenue # 51, Denver",39.6525695,-104.90007320000001,1,safety_security
"{'location': {'lat': 39.6528635, 'lng': -104.9050876}, 'viewport': {'northeast': {'lat': 39.6543034302915, 'lng': -104.9037395697085}, 'southwest': {'lat': 39.6516054697085, 'lng': -104.9064375302915}}}",Walgreens,"{'compound_code': 'M33V+4X Denver, Colorado, United States', 'global_code': '85FQM33V+4X'}","['drugstore', 'convenience_store', 'food', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']","7190 East Hampden Avenue, Denver",39.6528635,-104.90508759999999,1,safety_security
"{'location': {'lat': 39.6535053, 'lng': -104.8856893}, 'viewport': {'northeast': {'lat': 39.65477243029149, 'lng': -104.8844446197085}, 'southwest': {'lat': 39.6520744697085, 'lng': -104.8871425802915}}}",Royal Thai Honorary Consulate General Denver,"{'compound_code': 'M437+CP Denver, Colorado, United States', 'global_code': '85FQM437+CP'}","['embassy', 'point_of_interest', 'establishment']","8821 East Hampden Avenue #256, Denver",39.6535053,-104.8856893,1,safety_security
"{'location': {'lat': 39.65415340000001, 'lng': -104.9139863}, 'viewport': {'northeast': {'lat': 39.6554559302915, 'lng': -104.9126368697085}, 'southwest': {'lat': 39.6527579697085, 'lng': -104.9153348302915}}}",The Bagel Deli & Restaurant,"{'compound_code': 'M33P+MC Denver, Colorado, United States', 'global_code': '85FQM33P+MC'}","['restaurant', 'bakery', 'meal_takeaway', 'food', 'point_of_interest', 'store', 'establishment']","6439 East Hampden Avenue, Denver",39.65415340000001,-104.91398629999999,1,safety_security
"{'location': {'lat': 39.65463179999999, 'lng': -105.0511591}, 'viewport': {'northeast': {'lat': 39.6561305802915, 'lng': -105.0498128697085}, 'southwest': {'lat': 39.6534326197085, 'lng': -105.0525108302915}}}",King Soopers Pharmacy,"{'compound_code': 'MW3X+VG Denver, Colorado, United States', 'global_code': '85FPMW3X+VG'}","['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","3100 South Sheridan Boulevard Unit 2, Denver",39.65463179999999,-105.0511591,1,safety_security
"{'location': {'lat': 39.65466800000001, 'lng': -104.874767}, 'viewport': {'northeast': {'lat': 39.6560162302915, 'lng': -104.8732599697085}, 'southwest': {'lat': 39.65331826970851, 'lng': -104.8759579302915}}}",Denver Public Library: Hampden Branch Library,"{'compound_code': 'M43G+V3 Denver, Colorado, United States', 'global_code': '85FQM43G+V3'}","['library', 'point_of_interest', 'establishment']","9755 East Girard Avenue, Denver",39.65466800000001,-104.87476699999999,1,safety_security
"{'location': {'lat': 39.65467940000001, 'lng': -104.9990508}, 'viewport': {'northeast': {'lat': 39.6561294802915, 'lng': -104.9974939697085}, 'southwest': {'lat': 39.6534315197085, 'lng': -105.0001919302915}}}",Englewood Municipal Court,"{'compound_code': 'M232+V9 Englewood, Colorado, United States', 'global_code': '85FQM232+V9'}","['courthouse', 'local_government_office', 'point_of_interest', 'establishment']","1000 Englewood Parkway, Englewood",39.654679400000006,-104.99905079999999,1,safety_security
"{'location': {'lat': 39.656141, 'lng': -104.994791}, 'viewport': {'northeast': {'lat': 39.6571748302915, 'lng': -104.9932220197085}, 'southwest': {'lat': 39.6544768697085, 'lng': -104.9959199802915}}}",Walmart Supercenter,"{'compound_code': 'M244+F3 Englewood, Colorado, United States', 'global_code': '85FQM244+F3'}","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'food', 'point_of_interest', 'store', 'establishment']","601 Englewood Parkway, Englewood",39.656141,-104.99479099999999,1,safety_security
"{'location': {'lat': 39.656271, 'lng': -105.0485742}, 'viewport': {'northeast': {'lat': 39.6575717802915, 'lng': -105.0473436697085}, 'southwest': {'lat': 39.6548738197085, 'lng': -105.0500416302915}}}",Denver Motor Vehicle Department,"{'compound_code': 'MX42+GH Denver, Colorado, United States', 'global_code': '85FPMX42+GH'}","['local_government_office', 'point_of_interest', 'establishment']","3100 South Sheridan Boulevard, Denver",39.656271000000004,-105.0485742,1,safety_security
"{'location': {'lat': 39.6564075, 'lng': -105.054767}, 'viewport': {'northeast': {'lat': 39.6578488302915, 'lng': -105.0534175697085}, 'southwest': {'lat': 39.6551508697085, 'lng': -105.0561155302915}}}",Consulate General of Denmark,"{'compound_code': 'MW4W+H3 Denver, Colorado, United States', 'global_code': '85FPMW4W+H3'}","['embassy', 'point_of_interest', 'establishment']","5353 West Dartmouth Avenue # 508, Denver",39.6564075,-105.054767,1,safety_security
"{'location': {'lat': 39.6564868, 'lng': -105.0514449}, 'viewport': {'northeast': {'lat': 39.6577937802915, 'lng': -105.0502001197085}, 'southwest': {'lat': 39.6550958197085, 'lng': -105.0528980802915}}}",Denver Public Library: Bear Valley Branch Library,"{'compound_code': 'MW4X+HC Denver, Colorado, United States', 'global_code': '85FPMW4X+HC'}","['library', 'point_of_interest', 'establishment']","5171 West Dartmouth Avenue, Denver",39.656486799999996,-105.0514449,1,safety_security
"{'location': {'lat': 39.6619199, 'lng': -104.9557136}, 'viewport': {'northeast': {'lat': 39.6634431302915, 'lng': -104.9541304197085}, 'southwest': {'lat': 39.66074516970851, 'lng': -104.9568283802915}}}",Slavens Elementary School,"{'compound_code': 'M26V+QP Denver, Colorado, United States', 'global_code': '85FQM26V+QP'}","['primary_school', 'school', 'point_of_interest', 'establishment']","3000 South Clayton Street, Denver",39.661919899999994,-104.9557136,1,safety_security
"{'location': {'lat': 39.662434, 'lng': -105.069093}, 'viewport': {'northeast': {'lat': 39.66382629999998, 'lng': -105.0670795697085}, 'southwest': {'lat': 39.6609111, 'lng': -105.0697775302915}}}",John F. Kennedy High School,"{'compound_code': 'MW6J+X9 Denver, Colorado, United States', 'global_code': '85FPMW6J+X9'}","['secondary_school', 'school', 'point_of_interest', 'establishment']","2855 South Lamar Street, Denver",39.662434000000005,-105.069093,1,safety_security
"{'location': {'lat': 39.6630034, 'lng': -104.9880367}, 'viewport': {'northeast': {'lat': 39.66435163029149, 'lng': -104.9868097197085}, 'southwest': {'lat': 39.66165366970849, 'lng': -104.9895076802915}}}",Pharmacy | Kaiser Permanente Englewood Medical Office,"{'compound_code': 'M276+6Q Englewood, Colorado, United States', 'global_code': '85FQM276+6Q'}","['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","2955 South Broadway #1, Englewood",39.6630034,-104.98803670000001,1,safety_security
"{'location': {'lat': 39.6640203, 'lng': -105.0181876}, 'viewport': {'northeast': {'lat': 39.6653688302915, 'lng': -105.0167307197085}, 'southwest': {'lat': 39.66267086970851, 'lng': -105.0194286802915}}}",Al-Zahraa Islamic Center,"{'compound_code': 'MX7J+JP Denver, Colorado, United States', 'global_code': '85FPMX7J+JP'}","['mosque', 'place_of_worship', 'point_of_interest', 'establishment']","2885 South Bryant Street, Denver",39.6640203,-105.01818759999999,1,safety_security
"{'location': {'lat': 39.6645459, 'lng': -104.8671916}, 'viewport': {'northeast': {'lat': 39.6658921802915, 'lng': -104.8655600197085}, 'southwest': {'lat': 39.6631942197085, 'lng': -104.8682579802915}}}",Mile High Acura,"{'compound_code': 'M47M+R4 Denver, Colorado, United States', 'global_code': '85FQM47M+R4'}","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']","2799 South Havana Street, Denver",39.6645459,-104.8671916,1,safety_security
